teks_masalah,label_masalah,tingkat
Saya kewalahan tugas dan deadline menumpuk,Akademik,Sulit
Materi kuliah sulit saya pahami,Akademik,Sedang
Nilai saya menurun semester ini,Akademik,Sedang
Uang bulanan sering habis sebelum akhir bulan,Keuangan,Sulit
Biaya kos semakin mahal,Keuangan,Sedang
Saya kesulitan membayar UKT,Keuangan,Sulit
Saya merasa stres dan cemas berlebihan,Mental,Sulit
Saya sering overthinking soal masa depan,Mental,Sedang
Saya kurang percaya diri di kelas,Mental,Mudah
Jadwal organisasi bentrok dengan kuliah,Manajemen Waktu,Sedang
Saya sering menunda tugas,Manajemen Waktu,Sulit
Saya kelelahan karena kuliah dan kerja,Manajemen Waktu,Sulit
Ruangan kelas panas dan tidak nyaman,Fasilitas,Mudah
Internet kampus sering bermasalah,Fasilitas,Mudah
